CITY_NAME,NB
"Binghamton, NY",772
"Jamestown, ND",762
"Erie, PA",735
"Deadhorse, AK",716
"Aberdeen, SD",710
"State College, PA",704
"La Crosse, WI",700
"Bemidji, MN",695
"Lewiston, ID",694
"Wrangell, AK",655
"Nome, AK",653
"Petersburg, AK",650
"Butte, MT",650
"New Bern/Morehead/Beaufort, NC",645
"Kotzebue, AK",644
"Sault Ste. Marie, MI",643
"Marquette, MI",643
"Eau Claire, WI",633
"Newburgh/Poughkeepsie, NY",632
"Hancock/Houghton, MI",631
"Cordova, AK",624
"Hattiesburg/Laurel, MS",619
"Paducah, KY",618
"Brainerd, MN",615
"Elko, NV",613
"Worcester, MA",613
"Muskegon, MI",600
"Rock Springs, WY",597
"Cedar City, UT",595
"Alpena, MI",594
"Hays, KS",583
"Escanaba, MI",582
"Iron Mountain/Kingsfd, MI",578
"Nantucket, MA",562
"International Falls, MN",561
"Laramie, WY",557
"Yakutat, AK",547
"Beaumont/Port Arthur, TX",539
"Devils Lake, ND",530
"Bangor, ME",511
"Hobbs, NM",503
"Santa Maria, CA",502
"Kodiak, AK",495
"Bellingham, WA",494
"Joplin, MO",443
"Tyler, TX",431
"Roswell, NM",424
"Garden City, KS",382
"Longview, TX",365
"Guam, TT",346
"Niagara Falls, NY",343
"Plattsburgh, NY",321
"Grand Island, NE",289
"North Bend/Coos Bay, OR",265
"West Yellowstone, MT",223
"Martha's Vineyard, MA",223
"Gunnison, CO",218
"St. Augustine, FL",173
"Abilene, TX",151
"Hyannis, MA",113
"Pago Pago, TT",110
"Adak Island, AK",88
"Mammoth Lakes, CA",87
"Gustavus, AK",82
"Dillingham, AK",79
"Punta Gorda, FL",69
"King Salmon, AK",63
"Saipan, TT",1
"Manhattan/Ft. Riley, KS",1
